Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
WES,10-Nov-10,33.44,33.48,32.8,33.04,2517378
WES,11-Nov-10,33.19,33.53,33.14,33.31,3067380
WES,12-Nov-10,33.15,33.45,33.05,33.28,3163839
WES,15-Nov-10,33.45,33.64,33.32,33.35,1766551
WES,16-Nov-10,33.3,33.63,33.23,33.58,1899240
WES,17-Nov-10,33.12,33.3,33.05,33.05,2202669
WES,18-Nov-10,33.01,33.48,32.65,33.35,2915187
WES,19-Nov-10,33.28,33.53,32.82,33.15,1674109
WES,22-Nov-10,33.4,33.49,32.93,33.07,1464840
WES,23-Nov-10,32.95,33.04,32.44,32.64,2485778
WES,24-Nov-10,32.14,32.37,32.06,32.25,4023082
WES,25-Nov-10,32.27,32.5,31.97,32.19,2788659
WES,26-Nov-10,32.18,32.36,32.01,32.26,3126432
WES,29-Nov-10,32.01,32.18,31.55,31.94,2740685
WES,30-Nov-10,31.5,31.65,31.37,31.46,4166693
WES,1-Dec-10,31.01,31.45,31.01,31.36,2160985
WES,2-Dec-10,31.46,31.86,31.45,31.6,3955589
WES,3-Dec-10,31.97,31.98,31.64,31.74,1542278
WES,6-Dec-10,31.62,31.8,31.52,31.68,1942037
WES,7-Dec-10,31.8,32.39,31.53,32.21,2746034
WES,8-Dec-10,32.06,32.19,31.81,31.92,2116674
WES,9-Dec-10,32.08,32.27,31.87,32,2593313
WES,10-Dec-10,32.1,32.12,31.55,31.64,2499887
WES,13-Dec-10,31.9,31.94,31.55,31.61,1704252
WES,14-Dec-10,31.7,31.78,31.53,31.62,1277083
WES,15-Dec-10,31.77,31.89,31.53,31.59,3607458
WES,16-Dec-10,31.6,31.64,31.37,31.6,2728314
WES,17-Dec-10,31.51,31.79,31.51,31.52,1136462
WES,20-Dec-10,31.74,31.85,31.6,31.67,2346603
WES,21-Dec-10,31.8,32.14,31.7,32.02,2161077
WES,22-Dec-10,32.08,32.26,32,32.18,1599878
WES,23-Dec-10,32.35,32.61,32.23,32.4,1282948
WES,24-Dec-10,32.42,32.54,32.31,32.4,2532813
WES,29-Dec-10,32.4,32.4,32.01,32.23,941871
WES,30-Dec-10,32.36,32.48,32.21,32.3,741713
WES,31-Dec-10,32.26,32.32,32,32,767873
WES,4-Jan-11,32.01,32.09,31.57,31.82,2000879
WES,5-Jan-11,31.82,31.82,31.07,31.15,2535597
WES,6-Jan-11,31.31,31.35,31.01,31.12,2392566
WES,7-Jan-11,31.03,31.4,30.96,31.28,1761512
WES,10-Jan-11,31.1,31.27,31.03,31.2,1134700
WES,11-Jan-11,31.07,31.31,31.06,31.25,1292749
WES,12-Jan-11,31.13,31.32,31.08,31.16,1251359
WES,13-Jan-11,31.36,31.89,31.18,31.81,1960329
