Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
GEAR,02 May 2014,19.68,19.68,19.67,19.68,35005
GEAR,05 May 2014,19.68,19.68,19.68,19.68,0
GEAR,06 May 2014,19.68,19.68,19.68,19.68,0
GEAR,07 May 2014,19.63,19.63,19.4,19.4,210
GEAR,08 May 2014,19.8,19.8,19.8,19.8,25000
GEAR,09 May 2014,19.79,19.88,19.77,19.84,1804
GEAR,12 May 2014,19.75,19.75,19.75,19.75,5000
GEAR,13 May 2014,20.21,20.21,20.08,20.08,20700
GEAR,14 May 2014,20.15,20.3,20.15,20.28,402
GEAR,15 May 2014,20.28,20.28,20.28,20.28,0
GEAR,16 May 2014,20.28,20.28,20.28,20.28,0
GEAR,19 May 2014,19.78,19.78,19.69,19.69,15900
GEAR,20 May 2014,19.53,19.68,19.38,19.68,61275
GEAR,21 May 2014,19.25,19.64,19.25,19.64,20700
GEAR,22 May 2014,20.21,20.21,20.21,20.21,10
GEAR,10 Jul 2014,19.89,19.89,19.89,19.89,8
GEAR,18 Aug 2014,20.84,20.84,20.84,20.84,0
GEAR,16 Sep 2014,20.42,20.42,20.15,20.2,107432
GEAR,14 Aug 2015,19.3,19.42,18.99,18.99,24882
GEAR,16 Oct 2015,18.86,19.12,18.85,18.92,42320
GEAR,30 Oct 2015,18.49,18.62,18.25,18.48,33731
GEAR,08 Dec 2015,17.62,17.84,17.5,17.61,60789
GEAR,04 Dec 2015,17.95,17.95,17.65,17.87,116531
GEAR,03 Dec 2015,18.51,18.76,18.33,18.56,16847
GEAR,02 Dec 2015,18.9,18.95,18.7,18.88,31009
GEAR,01 Dec 2015,18.25,19.09,18.21,18.93,105205
GEAR,30 Nov 2015,18.2,18.43,18.12,18.18,26280
GEAR,27 Nov 2015,18.97,18.97,18.43,18.45,53407
GEAR,26 Nov 2015,18.37,18.88,18.37,18.52,128680
GEAR,25 Nov 2015,18.72,18.72,18.31,18.38,69447
GEAR,24 Nov 2015,18.78,18.93,18.62,18.68,104676
GEAR,23 Nov 2015,18.72,19.1,18.72,19.1,38817
GEAR,20 Nov 2015,18.75,19.03,18.75,18.87,41546
GEAR,19 Nov 2015,18.32,18.78,18.15,18.78,154877
GEAR,18 Nov 2015,17.53,17.93,17.45,17.85,82358
GEAR,17 Nov 2015,17.2,17.54,17,17.52,48634
GEAR,16 Nov 2015,16.48,16.93,16.45,16.76,88776
GEAR,13 Nov 2015,17.14,17.2,16.8,17.19,121049
GEAR,12 Nov 2015,17.54,18.08,17.45,17.85,41130
GEAR,11 Nov 2015,17.5,17.84,17.5,17.78,30629
GEAR,10 Nov 2015,17.38,17.43,17,17.41,145405
GEAR,09 Nov 2015,18.13,18.14,17.48,17.65,85198
GEAR,06 Nov 2015,18.25,18.46,17.95,18.45,36606
GEAR,05 Nov 2015,18.54,18.54,17.99,18.16,36920
GEAR,04 Nov 2015,18.93,19.12,18.57,18.57,55528
GEAR,03 Nov 2015,18.25,18.61,18.15,18.5,19480
GEAR,02 Nov 2015,18.51,18.51,17.85,17.88,57265
GEAR,31 Oct 2015,18.49,18.62,18.25,18.48,33731
GEAR,29 Oct 2015,19.51,19.52,18.69,18.7,83094
GEAR,28 Oct 2015,19.21,19.43,19.17,19.35,57265
GEAR,27 Oct 2015,19.55,19.55,19.45,19.45,20383
GEAR,26 Oct 2015,19.79,19.79,19.47,19.47,106603
GEAR,03 Feb 2016,15.2,15.36,14.88,14.92,180442
GEAR,23 Oct 2015,19.56,19.7,19.5,19.5,316967
GEAR,22 Oct 2015,18.46,18.71,18.32,18.7,59458
GEAR,21 Oct 2015,18.34,18.71,18.13,18.63,91783
GEAR,09 Feb 2016,15.13,15.13,14.51,14.63,288423
GEAR,20 Oct 2015,18.5,18.73,18.47,18.47,97032
GEAR,19 Oct 2015,18.92,18.92,18.7,18.73,32392
GEAR,15 Oct 2015,18.25,18.58,18.25,18.5,587611
GEAR,14 Oct 2015,18.08,18.21,17.93,18.16,21771
GEAR,13 Oct 2015,18.26,18.49,18.07,18.27,49487
GEAR,12 Oct 2015,18.74,18.85,18.46,18.46,33802
GEAR,09 Oct 2015,18.86,18.94,18.66,18.94,39210
GEAR,08 Oct 2015,18.61,18.71,18.31,18.35,67495
GEAR,07 Oct 2015,18.16,18.17,17.73,18.17,27579
GEAR,06 Oct 2015,18.21,18.42,17.96,17.99,131134
GEAR,05 Oct 2015,17.53,17.85,17.53,17.84,22628
GEAR,02 Oct 2015,17,17.51,16.92,17,27741
GEAR,01 Oct 2015,16.8,17.54,16.8,17.54,139291
GEAR,30 Sep 2015,15.97,16.7,15.94,16.69,147622
GEAR,29 Sep 2015,16.57,16.57,15.83,15.83,480173
GEAR,28 Sep 2015,16.9,17.47,16.9,17.41,61017
GEAR,25 Sep 2015,17.48,17.6,16.9,17.05,73532
GEAR,24 Sep 2015,16.71,17.18,16.71,17.08,73575
GEAR,23 Sep 2015,16.86,17.03,16.46,16.51,168187
GEAR,22 Sep 2015,17.5,17.6,17.21,17.44,46391
GEAR,21 Sep 2015,17.28,17.28,16.78,17.05,98703
GEAR,18 Sep 2015,17.65,18.25,17.65,18.14,58091
GEAR,17 Sep 2015,18.15,18.25,17.5,17.86,38841
GEAR,16 Sep 2015,17.19,17.44,16.94,17.4,27475
GEAR,15 Sep 2015,17.49,17.7,16.78,16.85,48848
GEAR,14 Sep 2015,17.62,17.65,17.2,17.4,39711
GEAR,11 Sep 2015,17.25,17.48,16.83,17.14,33282
GEAR,10 Sep 2015,17.57,17.65,17.31,17.52,59600
GEAR,09 Sep 2015,18,18.48,17.99,18.46,50756
GEAR,08 Sep 2015,16.97,17.37,16.94,17.37,72474
GEAR,07 Sep 2015,16.79,16.81,16.22,16.62,22406
GEAR,04 Sep 2015,16.8,17.05,16.41,16.77,28884
GEAR,03 Sep 2015,17.68,17.95,16.69,16.72,78855
GEAR,02 Sep 2015,16.8,17.28,16.55,17.14,121496
GEAR,01 Sep 2015,17.98,18.25,17.17,17.23,35444
GEAR,31 Aug 2015,18,18.37,17.77,18.06,30526
GEAR,28 Aug 2015,18.99,18.99,18.35,18.6,57639
GEAR,27 Aug 2015,18.5,18.72,18.4,18.4,77205
GEAR,26 Aug 2015,16.5,17.9,16.5,17.8,55029
GEAR,25 Aug 2015,15.23,17.61,15.23,17.23,688722
GEAR,24 Aug 2015,17.11,17.28,16.19,16.26,301305
GEAR,21 Aug 2015,18.18,18.3,17.69,18.08,387709
GEAR,20 Aug 2015,19.07,19.17,18.6,18.69,28984
GEAR,19 Aug 2015,19.12,19.5,19.12,19.45,22096
GEAR,18 Aug 2015,19.39,19.61,18.94,18.96,25010
GEAR,17 Aug 2015,19.4,19.51,19.25,19.3,65985
GEAR,13 Aug 2015,19.3,19.75,19.3,19.37,45459
GEAR,12 Aug 2015,20.29,20.31,19.01,19.27,86671
GEAR,11 Aug 2015,20.8,20.8,20.07,20.21,31335
GEAR,10 Aug 2015,20.14,20.43,20,20.43,93789
GEAR,07 Aug 2015,20.53,20.62,20.17,20.17,91042
GEAR,06 Aug 2015,21.51,21.51,21.08,21.14,18270
GEAR,05 Aug 2015,21.58,21.83,21.58,21.73,9800
GEAR,04 Aug 2015,21.83,22.3,21.83,22.08,17996
GEAR,03 Aug 2015,22.01,22.01,21.82,21.83,16358
GEAR,31 Jul 2015,21.91,22.09,21.91,22.05,8543
GEAR,30 Jul 2015,21.69,21.88,21.65,21.88,58511
GEAR,29 Jul 2015,21.62,21.63,21.45,21.53,14543
GEAR,28 Jul 2015,20.65,21.27,20.6,21.03,32841
GEAR,27 Jul 2015,20.7,21.11,20.7,21.11,12109
GEAR,24 Jul 2015,20.83,21.27,20.79,20.91,38910
