Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
OOO,16 Nov 2011,54.81,54.81,54.81,54.81,460
OOO,17 Nov 2011,54.95,56.9,54.95,56.9,1080
OOO,18 Nov 2011,54.6,54.6,54.6,54.6,1
OOO,21 Nov 2011,0,0,0,0,0
OOO,22 Nov 2011,53.58,53.61,53.55,53.55,6
OOO,23 Nov 2011,54.22,54.22,53.7,53.7,592
OOO,24 Nov 2011,53.3,53.3,53,53,100
OOO,25 Nov 2011,53.28,53.28,53.28,53.28,2
OOO,28 Nov 2011,0,0,0,0,0
OOO,29 Nov 2011,53.28,53.28,53.28,53.28,0
OOO,30 Nov 2011,55.2,55.2,55.2,55.2,50
OOO,01 Dec 2011,55.2,55.2,55.2,55.2,0
OOO,02 Dec 2011,55.2,55.2,55.2,55.2,0
OOO,03 Dec 2011,0,0,0,0,0
OOO,05 Dec 2011,55.2,55.2,55.2,55.2,0
OOO,08 Jul 2013,52.48,52.48,52.26,52.26,3199
OOO,05 Jul 2013,51.3,51.3,51.3,51.3,195
OOO,04 Jul 2013,51.45,51.45,51.41,51.41,1291
OOO,03 Jul 2013,51.5,51.5,51.5,51.5,112
OOO,02 Jul 2013,49.72,49.72,49.5,49.5,445
OOO,01 Jul 2013,48.8,48.8,48.7,48.7,1400
OOO,28 Jun 2013,47.97,47.97,47.97,47.97,0
OOO,27 Jun 2013,47.97,47.97,47.97,47.97,0
OOO,25 Jun 2013,47.97,47.97,47.97,47.97,200
OOO,24 Jun 2013,47.47,47.47,47.47,47.47,147
OOO,20 Jun 2013,48.8,48.8,48.8,48.8,0
OOO,19 Jun 2013,48.8,48.8,48.8,48.8,0
OOO,17 Jun 2013,48.8,48.8,48.8,48.8,0
OOO,14 Jun 2013,48.8,48.8,48.8,48.8,33
OOO,13 Jun 2013,47.87,47.87,47.87,47.87,0
OOO,06 Jun 2013,47.74,47.74,47.74,47.74,90
OOO,05 Jun 2013,47.3,47.3,47.3,47.3,0
OOO,04 Jun 2013,47.3,47.3,47.3,47.3,0
OOO,29 May 2013,0,0,0,0,0
OOO,28 May 2013,0,0,0,0,0
OOO,27 May 2013,47.29,47.3,47.29,47.3,94
OOO,23 May 2013,0,0,0,0,0
OOO,22 May 2013,0,0,0,0,0
OOO,21 May 2013,49,49,49,49,400
OOO,20 May 2013,48.42,48.42,48.42,48.42,100
OOO,14 May 2013,48.36,48.5,48.36,48.5,600
OOO,13 May 2013,0,0,0,0,0
OOO,10 May 2013,48.72,48.72,48.72,48.72,108
OOO,09 May 2013,48.5,48.5,48.5,48.5,100
OOO,08 May 2013,48.5,48.5,48.5,48.5,50
OOO,07 May 2013,48.52,48.84,48.51,48.84,8765
OOO,06 May 2013,0,0,0,0,0
OOO,03 May 2013,0,0,0,0,0
OOO,02 May 2013,46.42,46.42,46.42,46.42,215
OOO,01 May 2013,47.18,47.18,47.18,47.18,151
OOO,30 Apr 2013,47.48,47.48,47.48,47.48,0
OOO,24 Apr 2013,43.8,43.8,43.8,43.8,0
OOO,23 Apr 2013,43.8,43.8,43.8,43.8,0
OOO,22 Apr 2013,43.8,43.8,43.8,43.8,0
OOO,19 Apr 2013,43.8,43.8,43.8,43.8,0
OOO,18 Apr 2013,43.8,43.8,43.8,43.8,11
OOO,17 Apr 2013,44.7,44.7,44.7,44.7,0
OOO,16 Apr 2013,44.4,44.7,44.4,44.7,2262
OOO,15 Apr 2013,46.37,46.37,45.75,45.75,4355
OOO,12 Apr 2013,47.77,47.77,47.77,47.77,0
OOO,11 Apr 2013,47.77,47.77,47.77,47.77,0
OOO,10 Apr 2013,47.77,47.77,47.77,47.77,0
OOO,09 Apr 2013,47.77,47.77,47.77,47.77,180
OOO,08 Apr 2013,47.62,47.62,47.62,47.62,0
OOO,04 Apr 2013,48.04,48.04,48.04,48.04,100
OOO,03 Apr 2013,49.24,49.24,49.24,49.24,40
OOO,28 Mar 2013,49.22,49.22,49.22,49.22,0
OOO,27 Mar 2013,49.22,49.22,49.22,49.22,1844
OOO,26 Mar 2013,48.27,48.27,48.27,48.27,100
OOO,11 Mar 2013,46.83,46.83,46.83,46.83,0
OOO,08 Mar 2013,46.83,46.83,46.83,46.83,50
OOO,07 Mar 2013,46.61,46.61,46.61,46.61,0
OOO,06 Mar 2013,46.62,46.62,46.61,46.61,2172
OOO,05 Mar 2013,46.39,46.39,46.39,46.39,0
OOO,04 Mar 2013,46.39,46.39,46.39,46.39,321
OOO,28 Feb 2013,47.8,47.8,47.66,47.68,9481
OOO,27 Feb 2013,0,0,0,0,0
OOO,26 Feb 2013,0,0,0,0,0
OOO,22 Feb 2013,47.72,47.72,47.72,47.72,44
OOO,21 Feb 2013,48.6,48.6,48.6,48.6,558
OOO,20 Feb 2013,0,0,0,0,0
OOO,19 Feb 2013,49.5,49.5,49.5,49.5,20
OOO,14 Feb 2013,0,0,0,0,0
OOO,13 Feb 2013,50.37,50.37,50.37,50.37,245
OOO,12 Feb 2013,0,0,0,0,0
OOO,08 Feb 2013,49.58,49.73,49.58,49.59,1150
OOO,06 Feb 2013,49.81,49.81,49.81,49.81,180
OOO,05 Feb 2013,49.49,49.49,49.49,49.49,39
OOO,04 Feb 2013,50.25,50.25,50.25,50.25,0
OOO,01 Feb 2013,50.48,50.48,50.25,50.25,2381
OOO,31 Jan 2013,50.51,50.65,50.51,50.64,7025
OOO,30 Jan 2013,50.2,50.43,50.2,50.43,3240
OOO,29 Jan 2013,49.5,49.5,49.5,49.5,22
OOO,25 Jan 2013,49.41,49.41,49.41,49.41,214
OOO,24 Jan 2013,49.32,49.32,49.16,49.16,110
OOO,22 Jan 2013,49.42,49.42,49.42,49.42,12
OOO,21 Jan 2013,49.19,49.19,49.19,49.19,50
OOO,18 Jan 2013,49.29,49.29,49.29,49.29,202
OOO,17 Jan 2013,48.51,48.51,48.51,48.51,0
OOO,16 Jan 2013,48.51,48.51,48.51,48.51,82
OOO,15 Jan 2013,48.74,48.74,48.74,48.74,41
OOO,14 Jan 2013,47,47,47,47,110
OOO,11 Jan 2013,48.71,48.71,48.71,48.71,205
